noBtg,idBarcode,jenis,panjang,pangkal,ujung,rata2,volume,grCm,gr%
L1,,BK,3.8,74,71,72,1.4,20,9.8
L2,,BK,4.2,66,62,64,1.35,0,0
L3,,BK,4.3,70,65,67,1.52,0,0
L4,,BK,4.2,61,60,60,1.19,0,0
L5,,MB,4.4,50,50,50,0.86,0,0
L6,,MB,4.2,61,56,58,0.94,20,15.1
L7,,MB,4.2,70,62,66,1.44,0,0
L8,,MB,4.1,68,64,66,1.4,0,0
L9,,MB,4.1,52,51,51,0.84,0,0
L10,,MB,4.2,75,69,72,1.71,0,0
L11,,BK,4.2,58,53,55,1,0,0
L12,,BK,4.2,70,64,67,1.48,0,0
L13,,BK,4.6,52,51,51,0.94,0,0
L14,,BK,4.1,56,50,53,0.9,0,0
L15,,BK,4.1,65,61,63,1.28,0,0
L16,,BK,4.1,60,55,57,1.05,0,0
L17,,BK,4.2,58,46,52,0.89,0,0
L18,,BK,4.1,60,54,57,1.05,0,0
L19,,BK,4.1,48,43,45,0.65,0,0
L20,,BK,4.1,43,41,42,0.57,0,0
L21,,MM,4.4,94,84,89,2.74,0,0
L22,,MM,4.1,92,41,66,1.4,0,0
L23,,MB,5.1,68,62,65,1.69,0,0
L24,,MB,3.7,52,51,51,0.76,0,0
L25,,MB,4.1,52,51,51,0.84,0,0
L26,,KR,7,50,50,50,1.37,0,0
L27,,MB,4.6,65,53,59,1.26,0,0
L28,,MB,4.1,50,46,48,0.74,0,0
L29,,BNS,4.1,54,53,53,0.9,0,0
L30,,KR,4.1,72,69,70,1.58,0,0
L31,,BNS,4.7,45,44,44,0.71,0,0
L32,,KR,4,66,62,64,1.29,0,0
L33,,BNS,12.4,119,117,118,12.12,34,10.6
L34,,KR,8,74,60,67,2.82,0,0
L35,,KR,12,60,51,55,2.85,0,0
L36,,MB,4.1,106,101,103,2.91,35,14.7
L37,,BNS,8,63,62,62,2.42,0,0
L38,,BNS,19.8,52,41,46,3.29,0,0
L39,,BNS,5.5,42,37,39,0.66,0,0
L40,,KR,16.6,49,30,39,1.98,0,0
L41,,BNS,14.7,82,60,71,5.82,0,0
L42,,BNS,13,59,47,53,2.87,0,0
L43,,MB,13,48,39,43,1.89,0,0
L44,,MB,13,42,35,38,1.47,0,0
L45,,BNS,12.8,67,55,61,3.74,0,0
L46,,BNS,20.4,54,41,47,3.54,0,0
L47,,BNS,12.3,81,68,74,5.29,0,0
L48,,M,16,44,35,39,1.91,0,0
L49,,M,16,60,34,47,2.78,0,0
L50,,BNS,4.1,55,52,53,0.9,0,0
L51,,BNS,4.1,56,53,54,0.94,0,0
L52,,BNS,4.1,50,48,49,0.77,0,0
L53,,BNS,4.1,49,45,47,0.71,0,0
L54,,BNS,4.1,52,51,51,0.84,0,0
L55,,BNS,4.1,61,58,59,1.12,0,0
L56,,BNS,4.1,55,48,51,0.84,0,0
L57,,BNS,4.1,63,55,59,1.12,0,0
L58,,BNS,4.1,59,55,57,1.05,0,0
L59,,MB,4.1,65,65,65,1.36,0,0
L60,,MB,4.1,58,58,58,1.08,0,0
L61,,BNS,4.1,52,45,48,0.74,0,0
L62,,BNS,4.1,56,55,55,0.97,0,0
L63,,BNS,4.1,53,50,51,0.84,0,0
L64,,KR,4.1,60,60,60,1.16,0,0
L65,,BNS,4.1,71,61,66,1.4,0,0
L66,,M,4.1,49,45,47,0.71,0,0
L67,,M,4.1,41,40,40,0.52,0,0
L68,,M,4.1,60,58,59,1.12,0,0
L69,,M,4.1,53,52,52,0.87,0,0
L70,,M,4.1,63,58,60,1.16,0,0
L71,,M,4.1,46,43,44,0.62,0,0
L72,,M,4.1,40,37,38,0.46,0,0
L73,,M,4.1,52,48,50,0.81,0,0
1,,RC,16,55,45,50,2.5,20,20.4
5,,RC,15.9,59,49,54,3.64,0,0
6,,RC,17.3,44,32,38,1.96,0,0
7,,KR,20.4,79,54,66,6.98,0,0
8,,RC,11,60,43,51,2.25,0,0
9,,MM,13.9,52,39,45,2.21,0,0
11,,MM,15.1,86,71,78,7.22,0,0
20,,RC,20.3,54,42,48,3.67,0,0
26,,LBN,12.1,51,40,45,1.92,0,0
27,,M,18.3,64,51,57,4.67,0,0
28,,MB,17,62,46,54,3.89,0,0
29,,RC,16.5,54,38,46,2.74,0,0
L74,,BNS,4.6,71,70,70,1.77,0,0
L75,,MM,4.4,93,90,91,2.86,0,0
L76,,MB,4.1,118,110,114,3.53,40,15.7
L77,,MB,4.1,115,111,113,4.11,0,0
15A,,KR,5.2,73,62,67,1.83,0,0
15B,,KR,5.2,62,57,59,1.42,0,0
15C,,KR,5.2,57,54,55,1.24,0,0
15D,,KR,3.1,54,53,53,0.68,0,0
15E,,KR,3.9,53,45,49,0.74,0,0
16A,,KR,5,76,67,71,1.98,0,0
